actor_id,first_name,last_name,last_update
120,Penelope,Monroe,2013-05-26T14:47:57.620Z
121,Liza,Bergman,2013-05-26T14:47:57.620Z
122,Salma,Nolte,2013-05-26T14:47:57.620Z
123,Julianne,Dench,2013-05-26T14:47:57.620Z
124,Scarlett,Bening,2013-05-26T14:47:57.620Z
125,Albert,Nolte,2013-05-26T14:47:57.620Z
126,Frances,Tomei,2013-05-26T14:47:57.620Z
127,Kevin,Garland,2013-05-26T14:47:57.620Z
128,Cate,Mcqueen,2013-05-26T14:47:57.620Z
129,Daryl,Crawford,2013-05-26T14:47:57.620Z
130,Greta,Keitel,2013-05-26T14:47:57.620Z
131,Jane,Jackman,2013-05-26T14:47:57.620Z
132,Adam,Hopper,2013-05-26T14:47:57.620Z
133,Richard,Penn,2013-05-26T14:47:57.620Z
134,Gene,Hopkins,2013-05-26T14:47:57.620Z
135,Rita,Reynolds,2013-05-26T14:47:57.620Z
136,Ed,Mansfield,2013-05-26T14:47:57.620Z
137,Morgan,Williams,2013-05-26T14:47:57.620Z
138,Lucille,Dee,2013-05-26T14:47:57.620Z
139,Ewan,Gooding,2013-05-26T14:47:57.620Z
140,Whoopi,Hurt,2013-05-26T14:47:57.620Z
141,Cate,Harris,2013-05-26T14:47:57.620Z
142,Jada,Ryder,2013-05-26T14:47:57.620Z
144,Angela,Witherspoon,2013-05-26T14:47:57.620Z
145,Kim,Allen,2013-05-26T14:47:57.620Z
146,Albert,Johansson,2013-05-26T14:47:57.620Z
147,Fay,Winslet,2013-05-26T14:47:57.620Z
148,Emily,Dee,2013-05-26T14:47:57.620Z
149,Russell,Temple,2013-05-26T14:47:57.620Z
150,Jayne,Nolte,2013-05-26T14:47:57.620Z
151,Geoffrey,Heston,2013-05-26T14:47:57.620Z
152,Ben,Harris,2013-05-26T14:47:57.620Z
153,Minnie,Kilmer,2013-05-26T14:47:57.620Z
154,Meryl,Gibson,2013-05-26T14:47:57.620Z
155,Ian,Tandy,2013-05-26T14:47:57.620Z
156,Fay,Wood,2013-05-26T14:47:57.620Z
157,Greta,Malden,2013-05-26T14:47:57.620Z
158,Vivien,Basinger,2013-05-26T14:47:57.620Z
159,Laura,Brody,2013-05-26T14:47:57.620Z
160,Chris,Depp,2013-05-26T14:47:57.620Z
161,Harvey,Hope,2013-05-26T14:47:57.620Z
162,Oprah,Kilmer,2013-05-26T14:47:57.620Z
163,Christopher,West,2013-05-26T14:47:57.620Z
164,Humphrey,Willis,2013-05-26T14:47:57.620Z
165,Al,Garland,2013-05-26T14:47:57.620Z
166,Nick,Degeneres,2013-05-26T14:47:57.620Z
167,Laurence,Bullock,2013-05-26T14:47:57.620Z
168,Will,Wilson,2013-05-26T14:47:57.620Z
169,Kenneth,Hoffman,2013-05-26T14:47:57.620Z
170,Mena,Hopper,2013-05-26T14:47:57.620Z
171,Olympia,Pfeiffer,2013-05-26T14:47:57.620Z
172,Groucho,Williams,2013-05-26T14:47:57.620Z
173,Alan,Dreyfuss,2013-05-26T14:47:57.620Z
174,Michael,Bening,2013-05-26T14:47:57.620Z
175,William,Hackman,2013-05-26T14:47:57.620Z
176,Jon,Chase,2013-05-26T14:47:57.620Z
177,Gene,Mckellen,2013-05-26T14:47:57.620Z
178,Lisa,Monroe,2013-05-26T14:47:57.620Z
179,Ed,Guiness,2013-05-26T14:47:57.620Z
180,Jeff,Silverstone,2013-05-26T14:47:57.620Z
181,Matthew,Carrey,2013-05-26T14:47:57.620Z
182,Debbie,Akroyd,2013-05-26T14:47:57.620Z
183,Russell,Close,2013-05-26T14:47:57.620Z
184,Humphrey,Garland,2013-05-26T14:47:57.620Z
185,Michael,Bolger,2013-05-26T14:47:57.620Z
186,Julia,Zellweger,2013-05-26T14:47:57.620Z
187,Renee,Ball,2013-05-26T14:47:57.620Z
188,Rock,Dukakis,2013-05-26T14:47:57.620Z
189,Cuba,Birch,2013-05-26T14:47:57.620Z
190,Audrey,Bailey,2013-05-26T14:47:57.620Z
191,Gregory,Gooding,2013-05-26T14:47:57.620Z
192,John,Suvari,2013-05-26T14:47:57.620Z
193,Burt,Temple,2013-05-26T14:47:57.620Z
194,Meryl,Allen,2013-05-26T14:47:57.620Z
195,Jayne,Silverstone,2013-05-26T14:47:57.620Z
196,Bela,Walken,2013-05-26T14:47:57.620Z
197,Reese,West,2013-05-26T14:47:57.620Z
198,Mary,Keitel,2013-05-26T14:47:57.620Z
199,Julia,Fawcett,2013-05-26T14:47:57.620Z
200,Thora,Temple,2013-05-26T14:47:57.620Z
